arrival_date,commodity,commodity_code,district,grade,market,max_price,min_price,modal_price,state,variety
04/09/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
02/09/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
01/09/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
31/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
30/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
27/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
26/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,3086.61,2000.0,2006.81,Uttar Pradesh,Other
17/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
13/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,3015.04,2000.0,2122.22,Uttar Pradesh,Other
12/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
11/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
10/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
03/08/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
31/07/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
30/07/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,1800.0,1940.43,Uttar Pradesh,Other
29/07/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2500.0,2000.0,2208.19,Uttar Pradesh,Other
27/07/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,3124.27,3124.27,3124.27,Uttar Pradesh,Other
13/07/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,3671.03,3671.03,3671.03,Uttar Pradesh,Other
11/07/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2500.0,2500.0,2500.0,Uttar Pradesh,Other
30/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
29/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,4948.0,2000.0,2022.13,Uttar Pradesh,Other
28/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
26/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
20/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
18/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
17/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
16/06/2026,Tomato,78,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
